MMSI,STATUS,STATION_ID,SPEED,LON,LAT,COURSE,HEADING,ROT,2013-07-01 17:43:00
311040700,0,794,171,35.20532,33.8795,36,35,NULL,2013-07-01 17:38:00
311040700,0,795,173,35.20903,33.88379,36,35,NULL,2013-07-01 17:35:00
247039300,0,797,157,14.28295,43.88968,138,138,NULL,2013-07-01 17:29:00
311040700,0,798,174,35.21305,33.88842,36,35,NULL,2013-07-01 17:44:00
311040700,0,799,175,35.21685,33.89284,35,35,NULL,2013-07-01 17:41:00
247039300,0,800,156,14.29415,43.8806,138,138,NULL,2013-07-01 17:36:00
311040700,0,801,175,35.22056,33.89713,36,35,NULL,2013-07-01 17:35:00
311040700,0,802,175,35.22402,33.90107,35,35,NULL,2013-07-01 17:39:00
247039300,0,803,156,14.30963,43.86805,138,138,NULL,2013-07-01 17:43:00
311040700,0,805,176,35.24051,33.91312,67,68,NULL,2013-07-01 17:38:00
247039300,0,806,155,14.3143,43.8641,140,141,NULL,2013-07-01 17:35:00
311040700,0,807,175,35.24668,33.9147,75,74,NULL,2013-07-01 17:42:00
247039300,0,808,155,14.31887,43.86007,140,141,NULL,2013-07-01 17:35:00
311040700,0,809,175,35.25303,33.91565,83,83,NULL,2013-07-01 17:41:00
311040700,0,811,172,35.26105,33.9165,82,83,NULL,2013-07-01 17:19:00
311040700,0,812,171,35.26736,33.91686,87,86,NULL,2013-07-01 17:33:00
247039300,0,813,159,14.34085,43.84013,142,142,NULL,2013-07-01 17:38:00
311040700,0,815,167,35.28148,33.91766,86,86,NULL,2013-07-01 17:43:00
311040700,0,816,165,35.28867,33.91807,86,85,NULL,2013-07-01 17:42:00
311040700,0,817,161,35.30115,33.9187,86,86,NULL,2013-07-01 17:39:00
311040700,0,818,159,35.30755,33.91901,86,86,NULL,2013-07-01 17:34:00
311040700,0,819,157,35.31343,33.91932,86,85,NULL,2013-07-01 17:37:00
247039300,0,820,158,14.36482,43.81765,141,142,NULL,2013-07-01 17:35:00
